LinkCardPreview,https://drive.google.com/uc?id=1VjuOeur-2-0DB48aV1ES09bJS3qkr0af&export=view,https://drive.google.com/uc?id=1hbNqMmf_g7Wkdid8NTCB_IZDNNtDKJd5&export=view,https://drive.google.com/uc?id=1q6Tn7aRHPydiNgnmheHNZ_0QwwfczoQM&export=view,https://drive.google.com/uc?id=1h9-ECZ6AIqf-8Q5i35uaUxbaTySdpR09&export=view,https://drive.google.com/uc?id=1C4E6AjXGOv9ICRBxPT7rq1Wq7HBE3tpC&export=view,https://drive.google.com/uc?id=1cg1h6FpS7n9EUAFaQD2OoecCKTJHTx-q&export=view,https://drive.google.com/uc?id=1KWVE1sS4CBiVDJ3JpWXdnr1fSOgm6mhb&export=view,https://drive.google.com/uc?id=1UI5pA1_XEulaUaGZCTbx_RIH5fAWb5j3&export=view,https://drive.google.com/uc?id=1PBRr629tjyoJ_iki1Hhiu0SLvrnejOIF&export=view,https://drive.google.com/uc?id=1IW92lc433h-17-8_4izBPVneGQCD5jO0&export=view,https://drive.google.com/uc?id=1p3iubjLo3tNk1muiVHP0PNf2IF4S4jQ2&export=view,https://drive.google.com/uc?id=1Q6xNXIq774bd2JizSm6a9xJsnuSiqvxq&export=view,https://drive.google.com/uc?id=1trNb4q7-XSEuiK4j0h31TIfddpLlfLE5&export=view,https://drive.google.com/uc?id=14UzErn7BomDH-zFgKSCDoswnKJFPiALU&export=view,https://drive.google.com/uc?id=1kcN6tnuIJykOMsxv6BVjV69obQsTwKo4&export=view,https://drive.google.com/uc?id=1syseg5lK8C4XRBmIRbkS7nXBIq2nUj0w&export=view,https://drive.google.com/uc?id=1DqdnWWJiVzYqBMe4CyMsAr7JzmE-VLWB&export=view,https://drive.google.com/uc?id=1jwfyYTpNEM7a0Wl1ijcrTdsuaSABZEvj&export=view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CardPreview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TitleEN,Byers Residence,Byers Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TraitsEN,Hawkins.,Hawkins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeywordsEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RulesEN,,"<act>: Reveal a random token from the chaos bag. If you reveal a <sku> <cul> <tab> <mon> <ten>  symbol, spawn The Monster engaged with you (if The Monster is already in play, it engages you and makes an immediate attack). Otherwise, gain a clue from the token pool. (Limit once per turn.) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlavorEN,"The house looks normal enough. It sits up against a heavily wooded area, and there is a small shed in the back. As far as anyone knows, Will never made it home the night he went missing, but there may be some sign of what happened here.","There is little indication of anything amiss, except for Will's empty room. However, the lights flicker as you enter, and there is a strange charge to the air.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TranslateStatus,New,New,,,,,,,,,,,,,,,Nie,,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie,Nie
Side,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationIcon,Circle,Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection1Icon,T,T,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
